天辅,金太祖年号,1117—1123
天辅,大理段智祥年号,1226
天汉,汉武帝年号,前100—前97
天汉,前蜀王建年号,917
天会,北汉刘钧年号（957—968），刘继恩、刘继元沿用不改（968—973）,957—973
天会,金太宗年号（1123—1135），熙宗沿用不改（1135—1137）,1123—1137
天明,唐初辅公祏年号,623—624
天明,大理段素兴年号,？—1044
天启,南诏劝丰祐年号,？—859
天启,元末徐寿辉年号,1358—1359
天启,明熹宗年号,1621—1627
天庆,辽天祚帝年号,1111—1120
天庆,西夏桓宗年号,1194—1205
天寿,隋末宇文化及年号,618—619
天寿,于阗李圣天年号,963—966
天授,周武则天年号,690—692
天授,大理段正淳年号,1096
天顺,金时杨安儿年号,1214
天顺,元天顺帝年号,1328
天顺,明英宗年号,1457—1464
天统,北魏时邢杲年号,528—529
天统,北齐后主年号,565—569
天统,元末明玉珍年号,1362—1366
天玺,吴末帝年号,276
天玺,北凉段业年号,399—401
天禧,宋真宗年号,1017—1021
天禧,西辽末主年号,1178—1211
天兴,北魏道武帝年号,398—404
天兴,隋末刘武周年号,617—620
天兴,于阗李圣天年号,950—963
天兴,金哀宗年号,1232—1234
天祐,唐昭宗年号（904年），哀帝沿用不改（904—907）,904—907
天祐,大理段正明年号,？—1094
天正,南朝梁豫章王萧栋年号,551
天正,南朝梁武陵王萧纪年号,552—553
天正,大理段正淳年号,1103—1104
文德,唐僖宗年号,888
文德,大理段思平年号,938—？
长寿,周武则天年号,692—694
长寿,南诏阁逻凤年号,769—779
五凤,汉宣帝年号,前57—前54
五凤,吴会稽王孙亮年号,254—256
五凤,隋末窦建德年号,618—621
武成,北周明帝年号,559—560
武成,唐时李希烈年号,784—786
武成,前蜀王建年号,908—910
咸和,晋成帝年号,326—334
咸和,渤海大彝震年号,830—857
咸康,晋成帝年号,335—342
咸康,前蜀王衍年号,925
咸宁,晋武帝年号,275—280
咸宁,后凉吕纂年号,399—401
兴平,汉献帝年号,194—195
兴平,南齐时唐㝢之年号,486
安定,大理段智兴年号,？—1200
安定,元时杨镇龙年号,1289
延昌,北魏宣武帝年号,512—515
延昌,高昌麹乾固年号,561—601
延和,北魏太武帝年号,432—434
延和,高昌麹伯雅年号,602—613
延和,唐睿宗年号,712
延康,汉献帝年号,220
延康,隋末沈法兴年号,619—620
延康,元时林桂方、赵良钤年号,1283
延平,汉殇帝年号,106
延平,后燕时慕容麟年号,397
延熙,蜀汉后主年号,238—257
延熙,后赵石弘年号,334
延兴,北魏孝文帝年号,471—476
延兴,南齐海陵王萧昭文年号,494
义和,北凉沮渠蒙逊年号,431—433
义和,高昌麹□年号,614—619
义熙,晋安帝年号,405—418
义熙,高昌麹嘉年号,511—515
承光,夏赫连昌年号,425—428
承光,北齐幼主年号,577
承平,北凉沮渠无讳年号（443年），沮渠安周沿用不改（444—460）,443—460
承平,北魏南安王拓跋余年号,452
永平,北魏南安王拓跋余年号,452
承平,高昌麹嘉年号,502—510
应天,唐时史思明年号,759
应天,唐时朱泚年号,783
应天,后梁时刘守光年号,911—913
应天,西夏襄宗年号,1206—1209
永安,吴景帝年号,258—264
永安,晋惠帝年号,304
永安,北凉沮渠蒙逊年号,401—412
永安,北魏孝庄帝年号,528—530
永安,西夏崇宗年号,1098—1100
永昌,晋元帝年号,322—323
永昌,唐武则天年号,689
永昌,明末李自成年号,1644—1645
永初,汉安帝年号,107—113
永初,南朝宋武帝年号,420—422
永光,汉元帝年号,前43—前39
永光,南朝宋前废帝年号,465
永汉,汉献帝年号,189
永汉,南朝梁时刘敬躬年号,542
永和,汉顺帝年号,136—141
永和,晋穆帝年号,345—356
永和,后秦姚泓年号,416—417
永和,北凉沮渠牧犍年号,433—436
永和,闽王延钧年号,935
