词头,出现的词典数量
㧾开,1
㧾死,1
㧾浴,1
㧾脱,1
㧾闪,1
㨃咕,1
㨃当铺,1
㨃𤗿,1
㨄人,1
㨄倒,1
㨄台,1
㨄起来,1
㨊挱,1
㨋㨋碰,1
㨎汽,1
㨎面,1
㨖锥,1
㨘一餐,1
㨘人一餐,1
㨘沫涕,1
㨘牛王,1
㨡倒,1
㨤将,1
㨮揽,1
㨮搭,1
㨮踏,1
㨰场,1
㩃开,1
㩄海,1
㩄获,1
㩄锣,1
㩆窝子风,1
㩋箾,1
㩐搭,1
㩒掣,1
㩒钉,1
㩒钟,1
㩕衫,1
㩙话,1
㩚拍,1
㩢去,1
㩢掉,1
㩢揳,1
㩢甩,1
㩢甩佢,1
㩢脚布,1
㩢𢫬,1
㩧㩧斋,1
㩧湿,1
㩳身,1
㩴片子,1
㩻䧢,1
㩻𨸟,1
㪁敧,3
㪆󿖵,1
㪇声,1
㪇聲,1
㪉㪉,1
㪉伙,1
㪉伙儿,1
㪉伙计,1
㪉局,1
㪉手㪉脚,1
㪉水桶,1
㪉火,1
㪉火食,1
㪉道,1
㪍㪍,1
㪍慢,1
㪍𡨧,1
㪗㪗,1
㪗下,1
㪗下子,1
㪗下气,1
㪗乱,1
㪗仔,1
㪗冷来,1
㪗凉,1
㪗刻子,1
㪗南风,1
㪗叉袋底,1
㪗古,1
㪗啦,1
㪗啰,1
㪗大气,1
㪗子,1
㪗开,1
㪗搂,1
㪗擞,1
㪗松,1
㪗松一皮,1
㪗松下家,1
㪗气,1
㪗水,1
㪗泰,1
㪗空,1
㪗笑,1
㪗脱,1
㪗落,1
㪗衣,1
㪗褪,1
㪗退,1
㪗长气,1
㪗鼻,1
㪗𫧃开,1
㪝奸,1
㪬棍儿,1
㪺泉,1
㫘黑,1
㫰凉,1
㫰家私,1
㫰曬,1
㫰树,1
㫰桠杈,1
㫰竿,1
㫰竿竹,1
㫰衣墩,1
㫰风,1
㫾伙,1
㫾午,1
㫾午头儿,1
㫾午歪,1
㬈𣋉,1
㬉翠,1
㬟厝底,1
㬟在厝,1
㬟在屋下,1
㬟宁,1
㬟得,1
㬟是,1
㬟是厝,1
㬤人,1
㬤凉,1
㬴㬴,1
㬴㬴亮,1
㭉子,1
㭎炭,1
㭎鼓,1
㭎鼓曲,1
㭒門,1
㭘棔,1
㭬击,1
㭬杙,1
㭰唇辅,1
㭰辅,1
㭻枣,1
㮇子,1
㮕枣,1
㮚氏,2
㮟㮟,1
㮟㮟头,1
㮟㮟角角,1
㮟位,1
㮟儿,1
㮟列子,1
㮟拿,1
㮟油儿,1
㮟轮子,1
㮟𣗁,1
㮮槔,1
㮰子,1
㮰梠,1
㯘㯘,1
㯩䈆,1
㯳木,1
㯿欇,1
㯿𪳍,2
㰀檬,1
㰂酒,1
㰢㰢呛,1
㰤㰤亨,1
㰤㰤响,1
㰤㰤笑,1
㰵㰵,1
㰵奶,1
㰶㰶响,1
㰶脸,1
㱙㱫,1
㱙塗,1
㱙涂,1
㱥㮯头,1
㱥吞,1
㱥头,1
㱥掽混撞,1
㱩血,1
㱬㱣,1
㱬囊,1
㱮脓,2
㱸㱸㱤㱤,1
㱸西西,1
㱾㱼,1
㱾攺,1
㲀㞚,1
㲁㲁,1
㲃勾筒,1
㲃扁担,1
㲃痧,1
㲃筋,1
㲃箩风,1
㲅羞,1
㲋兽,1
㲋觜,1
㲦毛,1
㲦毛子,1
㲯毵,1
㲯毿,2
㲰㲰,1
㲽支不干,1
㲿洋,2
㲿滉,1
㲿瀁,2
㳄裹衣,1
㳅亡,1
㳒灋,1
㳡河,1
㳥淞,1
㳥淞雨,1
㳧尿,1
㴋地里,1
㴋率,1
㴋箾,1
㴙㴙,1
㴙㴙渧,1
㴙匕,1
㴛粘,1
㴨㴨叫,1
㴩湖,1
㴶肥,1
㴷㴷侄侄,1
㴷相鬼,1
㴼水,1
㴿宁,1
㴿寧,1
㵎水,1
㵎泉日記,1
㵎泉日记,1
㵗㶔,1
㵠沱,1
㶀㵧,1
㶁㶁,3
㶅捎,1
㶉𫛶,2
㶉𫛶卮,1
㶉𫛶巵,1
㶉𫛶木,1
㶏強,1
㶏强,1
㶏阳,1
㶏陽,1
㶒汎,1
㶒泛,1
㶒瀹,1
㶟余水,1
㶟水,2
㶟餘水,1
㶣㶣暖,1
㶣春,1
㶭搭搭,1
㶭火炪,1
㶭炄,1
㶰水,1
㶶巴,1
㶶粥锅巴,1
㷅菜,1
㷫烚烚,1
㷭涌,1
㷭湧,1
㷭𤑾,1
㷳㷳动,1
㸙㸙,1
㸙公,1
㸙母,1
㸝槃,1
㸺子,1
㸺牛,1
㹅猥,1
㹇鸡,1
㹎牛,2
㹒牛,1
㹒牯,1
㹠塞,1
㹠犢,1
㹠犬,1
㹠猪,1
㹠耳草,1
㹠魚,1
㹻子,1
㺀𤝽,2
㺀𪻃,1
㺒㤉,2
㺒㺒,1
㺢㹢狓,1
㺦猭,1
㻁岑,1
㻏珑,1
㻬琈,3
㼚子,1
㼜㼜鼓鼓,1
㼜子,1
㼜子轧牛卵,1
㼜蜂,1
㼧瓦,2
㼭㼭平,1
㼲㼲响,1
㼵子,1
㼽嘴,1
㼾甎,1
㼾砖,2
㼾磚,1
㽄缝,1
㽎㽎,1
㽎崟,1
㽘头,1
㽘子,1
㽘岸,1
㽘杴,1
㽱起痛,1
㽱跤,1
㽱酸,1
㽹心,1
㽹恶,1
㽹淘淘,1
㽹陶陶,1
㾀势,1
㾀势命,1
㾀势鬼,1
㾀屎,1
㾀意,1
㾃打,1
㾈肿,1
㾈腰,1
㾋㾋,1
㾋子,1
㾌琴,1
㾏仔钱,1
㾏哥,1
㾏天时,1
㾏脚,1
㾏𡳞,1
㾓㾓痛痛,1
㾓罢,1
㾕㾕,1
㾕慄,1
㾞子,1
㾤􉁔,1
㾦㿔,1
㾦子,1
㾪㾪,1
㾪人,1
㾪到脯脯,1
㾪到重皮缠重骨,1
㾪卑巴,1
㾪地,1
㾪小,1
㾪弱,1
㾪抽,1
㾪抽㾪抽,1
㾪梭,1
㾪梭巧路,1
㾪猴,1
㾪猴㾪猴,1
㾪田,1
㾪细,1
㾪脯㾪脯,1
㾪话,1
㾪赤,1
㾪过狗,1
㾪长,1
㾪骨落肉,1
㾪鬼,1
㾪𲄚,1
㾬疟,1
㾬瘧,1
㾭头螺蛳,1
㾭折子,1
㾭筋,1
㾭缩,1
㾭草,1
㾮病,1
㾴风,1
㾷瘌,1
㾸𤶁,1
㾹毁,1
㾻气,1
㿄噫,1
㿉疝,1
㿗疝,1
㿥㿥,2
㿬皻,1
㿭口枣,1
㿱刮,1
㿴舌子,1
㿷颁,1
㿺皮,1
䀂𰤽,1
䀇䀇,1
䀇儿,1
䀇子,3
䀇缸,1
䀒瞑,1
䀛眙,1
䀛穆,1
䀠奭,1
䀠里奭录,1
䀡䀡,1
䀣看看,1
䀦倒,1
䀦眉䀦眼,1
䀦睛暴眼,1
䀩亲,1
䀩囝婿,1
䀩嫜,1
䀩尼官,1
䀩廓,1
䀩新人,1
䀩新妇,1
䀩新官,1
䀫䀫𥈊𥈊,1
䀮䀮,1
䀼眩,1
䀼量人,1
䁃䁃,1
䁃天,1
䁅挣,1
䁅鸡眼,1
䁅𤿆,1
䁆瞹,1
䁊𬑒,1
䁏眇,1
䁐嫁妆,1
䁐病,1
䁐病先生,1
䁐稳,1
䁐脉,1
䁖一鼻子,1
䁖候,1
䁖兮䁖兮,1
䁖塜,1
䁖希,1
䁖悉,1
䁖松树,1
䁖泻星,1
䁖病,1
䁖老婆,1
䁜子,1
䁝目,1
䁢䁢,1
䁭䁭,1
䂍矟,1
䂚上䂚,1
䂦䂦,1
䂬溪,1
䂺砬,1
䃀磨,1
䃂子,1
䃔䃧,2
䃕确,1
䃕確,1
䃙砖,1
䃢碒,1
䃣齒,1
䃣𡙇,1
䃸磹,5
䄪䄪,1
䄱瓜,1
䄸荚,1
䄻秫,1
䄻黍,2
䅂荛儿,1
䅂𫀮儿,1
䅋米,1
䅓去,1
䅟子,6
䅢厄,1
䅢楻,1
䅢稿,1
䅢草,1
䅢镰,1
䅣娘草,1
䅩􇾑,1
䅯䅕,1
䆀䆀,1
䆀手,1
䆀手爿,1
䆀指,1
䆀穗子,1
䆀鬼,1
䆃官,1
䆉稏,1
䆊粟种,1
䆔背仔,1
䆔背佬,1
䆔背妹,1
䆔背婆,1
䆗窱,1
䆡䆡,1
䆡抗,1
䆲䆡,2
䆲䆲鱼,1
䇌槽,1
䇎薄鬼,1
䇎遻,1
䇏咕,1
䇏搭,1
䇑䇑坐,1
䇑䇑着,1
䇘笋,1
䇘筍,1
䇟胞,1
䇠子,1
䇣𥯑,2
䇤子,1
䇨䉶,1
䇨𫁷,1
䇭儿,1
䇭儿𱑉,1
䇯竹,1
䇲菜,1
䇽子,2
䈄𥶴,1
䈆篮,1
䈒泥,1
䈓䉈,1
䈛䉥,1
䈛竹,1
䈛笴,1
䈬筥,1
䈬篮儿,1
䈰箕,1
䈳门,1
䈾箕,1
䉂公,1
䉡羡银,1
䉡羨銀,1
䉤箕,1
䉭儿,1
䉭卢,1
䊎粉,1
䊖糕,1
䊝䊝𫂿𫂿,1
䊝𫂿,1
䊡头,1
䊵牛,1
䋈生,1
䌷䌷,1
䌷丝长,1
䌷段,1
䌷绎,3
䌷绩,1
䍀缕,1
䍇榼,1
䍚䍚,2
䍜罗,1
䍡𦌉,1
䍡𦌊,2
䍪羯,1
䍮羊,1
䍲羺,1
䍶䍶,1
䎺䏃,1
䏓䐐,1
䏔䏔食,1
䏕胞,1
䏘口,1
䏘坑儿,1
䏘洞,1
䏘皮,1
䏘面,1
䏘面皮,1
䏘面绷,1
䏝官,1
䏞肚子,1
䏩腮,1
䏵开,1
䏸螺得,1
䏽𦠛,1
䏾肿,1
䐁䐁,1
䐁地下,1
䐁窒,1
䐄子,1
䐈腻,1
䐊肫,1
䐒脚胯手,1
䐗子,1
䐛䐛,1
䐛模,1
䐥冻,1
䐥冻气,1
䐥冻臭,1
䐥气,1
䐥臭,1
䐥货,1
䐨拐,1
䐬头,1
䐬头肉,1
䐯堆果子,1
䐯子,1
䐯屄,1
䐯腄,1
䐯膗,1
䐯鸟,1
䑋䑋,1
䑋瓜,1
䑋肠,1
䑏疏,1
䑙舌,1
䑡䑰,1
䑣船,1
䑦𦪇,1
䑽子,1
䒌靘,1
䒐䒏,1
䒠茸,1
䒦筒,1
䒵丁丁,1
䒷淖,1
䒷蒌,2
䒷蔞,2
䒿油,1
䒿煎粿,1
䒿粕,1
䒿腻,1
䓈耳,1
䓕澨,1
䓛刷,1
䓛鼻,1
䓞草,1
䓮䕅,1
䓵萮,1
䓸粝,1
䓸糲,1
䔋木,1
䔌苏,1
䔌蘇,1
䔿䔿,1
䔿实,1
䕅𧃒,1
䕇芋,1
䕊菼,1
䕞𦿆,1
䕡茹,1
䕩菜,1
䕭草,1
䖃䕢,1
䖃苲,1
䖃苴,1
䖆䖆毛,1
䖆毛儿,1
䖆茅,1
䖘𰗛兔,1
䖙椅,1
䖟䗽,1
䖟矢,2
䖟翅,1
䖟蚊,1
䖟風,2
䖟风,1
䖟飛,1
䖡蚭,2
䖤蟺,1
䖦蟱,1
䖪鼠,1
䖬蚱,1
䖭𧑏,1
䖮虫,1
䖳皮,1
䖳脚,1
䖳蛟,1
䖳鱼,1
䖸罗,1
䖸羅,1
䖹䖹,2
䖹子,1
䖺䗤,1
䗂䗔,1
䗌䗌,1
䗌虰,1
䗐虫,1
䗖蝀,3
䗖（虫+东）,1
䗖𬟽,2
䗘头牛牛,1
䗘𧌏,1
䗛子,1
䗜蛄,1
䗡淵,1
䗡渊,1
䗧䘆,1
䗧蜋,1
䗧许,1
䗧𧉅,2
䗧𧋓,1
䗪虫,2
䗪蟒,2
䗪蟲,1
䗫蝈,1
䗫𧉹,1
䗱螺,1
䗿母,1
䘀螽,1
䘁流,1
䘁蟟,1
䘆公,1
䘌虫子,1
䘕䘕,1
䘕子,1
䘕衏,2
䘕𢕋,2
䘥仔,1
䘥囝,1
